Sensor_ID,Y,X
119509,45.1313868,-93.3692438
97563,45.0947422,-93.5075276
108274,45.030721,-93.393912
162145,44.928413,-93.411576
147749,44.955786,-93.385116
171919,44.900388,-93.387719
108366,44.8798835,-93.3896065
108364,44.878977,-93.354913
5582,44.891801,-93.343657
43305,44.898873,-93.302307
142750,44.923123,-93.329243
11134,44.927815,-93.322808
157935,44.9298497,-93.3245593
142774,44.953557,-93.317888
145250,44.9681144,-93.3170144
143246,44.901768,-93.277434
157837,44.9879989,-93.3105071
142852,44.9884507,-93.3101654
145616,44.9792079,-93.3026155
142730,44.992773,-93.297734
142718,44.995739,-93.295972
142744,44.995871,-93.296236
142752,44.998442,-93.297803
143636,45.0097112,-93.2949223
145610,45.0102261,-93.2855661
142726,45.015118,-93.289444
143648,45.03,-93.292549
157787,45.0394756,-93.2886019
143238,45.0423825,-93.2978862
143222,45.0463341,-93.3154419
171059,45.0594076,-93.2941786
174855,45.0594411,-93.2941663
145242,45.006909,-93.264047
142756,45.0045553,-93.2604822
54907,45.00335341,-93.25570528
143666,44.9978629,-93.2491069
143224,45.008751,-93.2498991
145202,45.013673,-93.234185
157747,45.0158072,-93.2504886
145204,44.9680397,-93.21806909
143242,44.9675165,-93.2114928
157877,44.9010151,-93.2084282
143214,44.9063869,-93.2323539
145470,44.908042,-93.2313388
46215,44.9100027,-93.2322485
143226,44.9114735,-93.2251173
142732,44.917056,-93.274602
145234,44.895914,-93.268222
157845,44.9280732,-93.2691738
157871,44.9350858,-93.270685
157861,44.929823,-93.258342
113486,44.927942,-93.254285
3088,44.935901,-93.21761
145454,44.944523,-93.239353
156605,44.9508794,-93.2478742
174451,44.9533612,-93.2471748
157757,44.954324,-93.249533
142720,44.956349,-93.255908
143916,44.9608851,-93.2614542
142728,44.957925,-93.246001
116413,44.9613228,-93.242437
142748,44.9657162,-93.2849645
21179,44.9659784,-93.284883
142736,44.9724723,-93.2830342
143216,44.9777366,-93.2642892
17189,44.9812848,-93.2716517
5644,44.9677864,-93.6601539
98259,44.8996846,-93.1791584
83389,43.7340489,-96.6232846
8376,43.504807,-96.69547
60141,43.124237,-94.693659
102674,43.3134259,-91.804169
98545,43.795522,-91.4266405
36885,44.385447,-91.033865
110580,45.0482707,-92.6492182
35683,46.8556109,-90.787791
37247,47.7290472,-90.6131429
30797,48.0694605,-90.4303649
111261,48.4099976,-92.8200248
95721,48.9026185,-95.2963455
94735,47.9964327,-84.7715189
96171,49.953309,-97.046133
101111,47.9269119,-97.0625891
156015,45.54399,-100.42927
104022,45.88727,-95.37395
90349,46.873841,-95.708131
83019,46.9971133,-94.9930324
90621,47.107354,-94.548756
91701,47.551822,-93.980649
130627,47.51682,-92.59602
113949,47.821109,-92.105277
111393,47.902081,-91.86673
30763,46.663288,-94.217687
132565,46.5278629,-93.9454942
102526,43.82937,-94.44594
31423,44.158598,-94.017428
42153,44.033589,-92.433055
168973,44.0394191,-92.4441428
55369,44.0916164,-92.4592354
127155,44.294525,-93.293242
119107,44.457365,-93.151733
161725,44.4614184,-93.1526287
30787,44.7337443,-92.8967064
87095,44.81326,-92.971177
107638,44.7791129,-93.1693037
141330,44.767869,-93.196333
98297,44.769812,-93.23255
173739,44.7500793,-93.3483347
173737,44.750397,-93.349528
6376,44.7414343,-93.3680983
31049,44.7124237,-93.4637747
107082,44.9202,-93.17529
128195,44.935632,-93.186259
85113,44.9364071,-93.1789915
107096,44.94275,-93.1704394
77405,44.9667357,-93.1798922
126487,45.0386,-93.2142
23989,45.112031,-93.277993
7314,45.1379643,-93.2599833
18075,45.1407891,-93.2219472
60387,45.211229,-93.2126865
129377,45.2824001,-92.942494
51533,45.895,-93.033057
121191,46.3890589,-92.8141423
35481,46.7002821,-92.2091728
35605,46.669398,-92.079405
35477,46.718382,-92.094345
35549,46.77463,-92.136935
39249,46.8075228,-92.1427665
115965,46.8084039,-92.0648676
35701,46.8110607,-92.0597419
34661,45.085494,-93.003105
75827,44.932755,-93.140978
162845,44.908493,-93.116658
154751,44.9285484,-93.0930483
104760,44.9426,-93.100124
98279,44.9583864,-93.0786599
9816,44.945875,-93.056465
10978,44.9487819,-93.0556682
13613,44.9506576,-93.0275893
31063,49.89049,-97.29652
